im_name	xmin_coord	ymin_coord	xmax_coord	ymax_coord	box_conf	predicted	brand_conf
nUMK0KFKt1cBXBokYIliij3sXUKAOXcMr517O6mr	2223	1183	2468	1361	0.6437581777572632	cheetos	0.99886596
f1Nzx8QTyVH0ptKN6B3my3kq9jCESpgdpSdp1ShI	2419	1234	2520	1417	0.44580501317977905	unknown	0.9673904
86SrVUvwVbqwB6uAOIebwXpDDABaRGYmRh1pBCgn	812	2188	2168	2940	0.5002010464668274	unknown	0.99999833
m20N59uFdCW5imcXN14wzw3UQPvoYJ7waFeO3mvE	824	760	1124	1000	0.6081364750862122	busch_light	0.97581756
m20N59uFdCW5imcXN14wzw3UQPvoYJ7waFeO3mvE	508	1148	932	1544	0.573383629322052	heineken	0.99989784
m20N59uFdCW5imcXN14wzw3UQPvoYJ7waFeO3mvE	1756	700	2020	816	0.48889851570129395	unknown	0.99360716
m20N59uFdCW5imcXN14wzw3UQPvoYJ7waFeO3mvE	360	1028	496	1148	0.2857106029987335	monster	0.41177952
m20N59uFdCW5imcXN14wzw3UQPvoYJ7waFeO3mvE	1760	1048	2024	1180	0.2785610258579254	unknown	0.61604065
aBr1HRbbyzFgJTcl84Aq9R7JOuFhnqMOmE7XnXwO	864	1659	1932	2495	0.7502362728118896	unknown	0.9999846
IMG_0094	1121	1606	1732	1890	0.2901821732521057	unknown	0.64104044
IMG_8472	1512	900	3036	1959	0.10468098521232605	unknown	0.99952054
IMG_0328	1600	1102	2293	1820	0.8243604898452759	heineken	1.0
IMG_2105	529	1159	945	1719	0.6775633096694946	unknown	0.7967864
IMG_4294	1789	1493	2198	1890	0.28530317544937134	corona	0.81447744
IMG_0862	1530	1348	2337	2116	0.34127458930015564	heineken	1.0
IMG_0862	1795	1549	2072	1921	0.2767539322376251	stella	0.8789602
IMG_0862	1537	1493	2142	2110	0.11324899643659592	heineken	0.99999547
EUnSBrXf5bH61ZKoCFcZaJq4dVxe5HVnJRqb4YDq	1908	1536	2060	1696	0.3106261193752289	green_mountain	0.9245225
cP8PErRlvYmRxJriBUtcoGeayxixaWGlbgrQsNaW	1271	1819	2003	2325	0.2646017372608185	unknown	0.51683456
xobEi5pnDCsVEzO1GChcLNw9d26TzYBaQOzyNz6Y	1767	2093	2069	2391	0.6850687265396118	unknown	0.65841264
IMG_2834	1096	605	2679	1867	0.15558429062366486	unknown	0.85624963
IMG_6727	1318	2311	1606	2623	0.7059846520423889	unknown	0.99838567
IMG_3096	1285	3062	1521	3441	0.26397448778152466	unknown	0.96543545
IMG_3096	1219	1961	1323	2179	0.15459531545639038	unknown	0.9997694
IMG_8486	1751	882	2545	1682	0.9133816957473755	unknown	0.9999975
SIuaqMGYcswD4im0NFYDMEZumRdhNY1AMqVD6ytO	1165	1310	1449	1587	0.40371036529541016	deer_park	0.99989104
IMG_6065	1266	1673	1389	1796	0.6533210277557373	unknown	0.80918103
IMG_1189	1256	1366	1507	1564	0.49306073784828186	kirkland	0.99999917
oUOyQQ2A5m1gVLAHKAqGNcCUDpQbxuB2aHkBJIBk	595	1522	1960	2798	0.8111399412155151	pacifico	0.99998593
IMG_4194	1789	1228	2268	1801	0.7085211277008057	unknown	0.99987817
tTzh0I2nNTMsC5QXKatN6B9jhqO3oiJfiIeGHZO4	1209	1748	1889	2197	0.6789037585258484	unknown	0.9873819
tTzh0I2nNTMsC5QXKatN6B9jhqO3oiJfiIeGHZO4	1077	1569	1889	2179	0.12499246001243591	unknown	0.999879
seThJe9ov27mGOABrAoMS8v8dxiUCmJY5HnbpgMA	765	1304	1346	1796	0.5757695436477661	unknown	0.9068727
IMG_5416	1033	1398	2072	2028	0.7267166376113892	unknown	0.99932694
IMG_5416	2948	1512	3074	1644	0.13662707805633545	heineken	0.9881341
fQtvV3jqTx3sZQ1D8wRGHR3LlByL0XhsH18kLQ3E	1266	957	1663	1089	0.4726625978946686	kirkland	0.9099475
CyHRsTwCouzGxwoVVDX2HqQgJPvjH3c85wJGQuDB	576	794	2537	3114	0.5348454117774963	unknown	1.0
IMG_0001	1124	1635	1738	2656	0.7346248030662537	unknown	0.9996941
phSqAmgkUcg125Aq0nswzHMZtFJtlq0OwVWrFtAk	1562	1543	1990	2142	0.8391648530960083	corona	0.9998964
phSqAmgkUcg125Aq0nswzHMZtFJtlq0OwVWrFtAk	1260	2255	1505	2463	0.5792489051818848	heinz	0.99480516
phSqAmgkUcg125Aq0nswzHMZtFJtlq0OwVWrFtAk	1940	459	2205	900	0.32164955139160156	modelo	0.9999993
