im_name	xmin_coord	ymin_coord	xmax_coord	ymax_coord	box_conf	predicted	brand_conf
2022_02_28_3pT0NyBsCP3ar1oxePztKJvGzlSAttTUophc683M	564	61	586	94	0.8046360611915588	unknown	0.930166
2022_02_28_3pT0NyBsCP3ar1oxePztKJvGzlSAttTUophc683M	472	506	550	578	0.36051419377326965	unknown	0.99998355
2022_02_28_3pT0NyBsCP3ar1oxePztKJvGzlSAttTUophc683M	90	366	188	505	0.26106593012809753	modelo	0.9999993
2022_04_01_FULd0ipVCmUnZmgyqQe5PcrJla1m1SP7361vGg5e	76	438	236	608	0.890564501285553	corona	0.9980281
2022_04_01_FULd0ipVCmUnZmgyqQe5PcrJla1m1SP7361vGg5e	231	369	344	444	0.7758781313896179	gatorade	1.0
2022_04_01_FULd0ipVCmUnZmgyqQe5PcrJla1m1SP7361vGg5e	414	34	580	109	0.6878232359886169	unknown	0.96130663
2022_04_01_FULd0ipVCmUnZmgyqQe5PcrJla1m1SP7361vGg5e	509	102	578	139	0.4623125195503235	mikes_hard	0.7834545
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	269	361	401	581	0.8879396915435791	corona	0.61806005
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	462	79	601	174	0.7917471528053284	stella	0.8150206
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	89	384	186	594	0.712422251701355	modelo	0.8297958
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	408	130	454	168	0.5484467148780823	unknown	0.9511001
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	24	133	195	597	0.49940669536590576	unknown	0.9971855
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	415	167	450	191	0.33103492856025696	reeses	0.9212625
2019_11_02_wMNROA1s5sTr5KTjYjHHRTeYfyDaIOFFruWJGq7O	152	184	469	571	0.41282063722610474	unknown	0.9859839
2019_11_02_wMNROA1s5sTr5KTjYjHHRTeYfyDaIOFFruWJGq7O	177	191	464	452	0.40703535079956055	unknown	0.9994349
2020_02_01_UMMTbuMWbCcz97loDwZzVTrzqHE7pG0DIvQ1nTwc	124	363	321	466	0.5072409510612488	unknown	0.77891546
