im_name	xmin_coord	ymin_coord	xmax_coord	ymax_coord	box_conf	predicted	brand_conf
2022_09_23_XmGzihubOxzEzCYD8OytdpGxx0YbVxERUprftx40	294	111	410	207	0.7621556520462036	dr_pepper	0.9947226643562317
2022_09_23_XmGzihubOxzEzCYD8OytdpGxx0YbVxERUprftx40	154	148	457	478	0.6178463697433472	gatorade	0.7692172527313232
2022_02_27_1FLq9Fp43ySh2CmRN89VxWxijz5NiTbTtl7oSIPg	240	210	390	394	0.6654700040817261	amstel_light	0.999988317489624
2022_02_27_1FLq9Fp43ySh2CmRN89VxWxijz5NiTbTtl7oSIPg	275	370	456	516	0.5901710987091064	amstel_light	0.9995207786560059
2022_02_27_1FLq9Fp43ySh2CmRN89VxWxijz5NiTbTtl7oSIPg	236	206	458	517	0.14037896692752838	amstel_light	0.5485147833824158
2022_10_01_ynt1C9X6vIbSEk34pr9md8yj6wfnIAwP0tvjQq3m	106	244	459	479	0.8720625042915344	snickers	0.9999991655349731
2022_03_29_sYNyqu1klWQ2nGhV5PZnDz3eZd8HeOMSabPBTNV5	248	266	395	384	0.18762579560279846	unknown	0.9944501519203186
2022_02_15_UNTVpd1TLZNYnu0BNSNZppw9NPpd0xFZEBjdjK6B	48	329	125	431	0.5418930053710938	unknown	0.9982249140739441
2022_02_15_UNTVpd1TLZNYnu0BNSNZppw9NPpd0xFZEBjdjK6B	120	285	164	352	0.4327545762062073	mikes_hard	0.8874598741531372
2022_02_15_UNTVpd1TLZNYnu0BNSNZppw9NPpd0xFZEBjdjK6B	112	63	139	112	0.11723851412534714	seven_eleven	0.9847220778465271
2021_07_18_DwmAOI5WeZpLtnJPGLN4QMS6KHOZJeO52g0b8kxO	47	205	147	300	0.8542107343673706	amstel_light	0.8403303623199463
2021_07_18_DwmAOI5WeZpLtnJPGLN4QMS6KHOZJeO52g0b8kxO	332	43	505	175	0.8461061716079712	unknown	0.9999955892562866
2021_07_18_DwmAOI5WeZpLtnJPGLN4QMS6KHOZJeO52g0b8kxO	475	483	560	593	0.771808385848999	heineken	1.0
2021_07_18_DwmAOI5WeZpLtnJPGLN4QMS6KHOZJeO52g0b8kxO	528	209	588	237	0.6716954112052917	oreo	0.8349453210830688
2021_07_18_DwmAOI5WeZpLtnJPGLN4QMS6KHOZJeO52g0b8kxO	464	233	564	401	0.5261146426200867	natural_light	0.6801454424858093
2021_07_18_DwmAOI5WeZpLtnJPGLN4QMS6KHOZJeO52g0b8kxO	471	159	517	211	0.38833609223365784	tylenol	0.8319277763366699
2021_07_18_DwmAOI5WeZpLtnJPGLN4QMS6KHOZJeO52g0b8kxO	558	385	584	441	0.30617931485176086	monster	0.999924898147583
2021_07_18_DwmAOI5WeZpLtnJPGLN4QMS6KHOZJeO52g0b8kxO	518	262	570	349	0.2894570231437683	unknown	0.7610973715782166
2020_08_28_da6eBEyUHwnfTeq94ZBqKGVSVbY1kWyVrBxp0vLk	238	225	443	407	0.7502568364143372	snickers	0.7892465591430664
2022_02_24_APvQv92pBfnjuhfUyKZoYC2DjghNk3EohkWNMJ9A	256	266	382	365	0.533791720867157	fanta	0.9999390840530396
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	310	257	362	290	0.5303424596786499	monster	0.9986259937286377
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	117	244	157	303	0.3735354542732239	canada_dry	0.7169806957244873
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	40	173	99	272	0.21499907970428467	unknown	0.9999998807907104
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	525	116	595	174	0.214725524187088	kelloggs	0.766929566860199
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	512	78	596	173	0.1247052550315857	unknown	0.964159369468689
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	381	420	393	436	0.10694549977779388	mikes_hard	0.8367605209350586
2022_02_20_J21MggCi3kYLyJUekvvIxahkAM32TeUSpMp7ntjE	262	373	319	452	0.6592420339584351	gatorade	1.0
2022_02_20_J21MggCi3kYLyJUekvvIxahkAM32TeUSpMp7ntjE	70	392	120	477	0.24138540029525757	gatorade	1.0
2022_02_20_J21MggCi3kYLyJUekvvIxahkAM32TeUSpMp7ntjE	526	319	584	398	0.22620153427124023	gatorade	1.0
2022_02_20_J21MggCi3kYLyJUekvvIxahkAM32TeUSpMp7ntjE	392	383	437	463	0.16729861497879028	gatorade	1.0
2022_02_20_J21MggCi3kYLyJUekvvIxahkAM32TeUSpMp7ntjE	143	418	250	517	0.11506683379411697	unknown	0.9462816715240479
2022_07_01_zR5Eum1nKQ2smDb5pCaPXdsjVy2MXWr9mWW2haMM	448	321	572	571	0.793073296546936	sprite	0.33745887875556946
2022_07_01_zR5Eum1nKQ2smDb5pCaPXdsjVy2MXWr9mWW2haMM	402	334	451	459	0.12502571940422058	unknown	0.9978450536727905
2018_09_13_xOkZ1jG0K3VGClsEKpFuAuAxda9mZYbGDqYWee5B	161	262	354	342	0.3232579231262207	unknown	0.9327993988990784
2018_09_13_xOkZ1jG0K3VGClsEKpFuAuAxda9mZYbGDqYWee5B	342	340	372	368	0.14931872487068176	unknown	0.2801848351955414
2021_08_01_qKvKJ2cnBCcRXgcygLY6dWmdCwmbUGbGF28GXRff	180	273	400	509	0.1740601807832718	unknown	0.9999592304229736
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	269	361	401	581	0.887939453125	corona	0.6180626153945923
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	462	79	601	174	0.7917468547821045	stella	0.8150229454040527
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	89	384	186	594	0.7124227285385132	modelo	0.8297944068908691
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	408	130	454	168	0.5484462976455688	unknown	0.9511010050773621
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	24	133	195	597	0.49940675497055054	unknown	0.9971855282783508
