im_name	xmin_coord	ymin_coord	xmax_coord	ymax_coord	predicted	conf
nUMK0KFKt1cBXBokYIliij3sXUKAOXcMr517O6mr	2213	1147	2483	1377	heinz	0.3423176109790802
AVCxXxrrWcU83HHx8YGwlV9eDE0Uzo6tLfKR0pKT	252	220	304	266	deer_park	0.7817718982696533
m20N59uFdCW5imcXN14wzw3UQPvoYJ7waFeO3mvE	508	1156	932	1556	heineken	0.8966934680938721
m20N59uFdCW5imcXN14wzw3UQPvoYJ7waFeO3mvE	1752	680	2024	832	dasani	0.5167824029922485
IMG_0094	1102	1593	1745	1902	powerade	0.415865033864975
IMG_8472	1877	1291	2274	1638	gatorade	0.9062652587890625
IMG_0328	1587	1115	2866	1953	heineken	0.5694785714149475
IMG_4294	1814	1543	2192	1852	corona	0.7661178112030029
IMG_4294	2368	1726	2740	2034	corona	0.38290169835090637
IMG_0862	1543	1348	2305	2116	heineken	0.9325882792472839
IMG_8486	1770	919	2564	1675	michelob	0.831488847732544
SIuaqMGYcswD4im0NFYDMEZumRdhNY1AMqVD6ytO	1140	1278	1423	1593	deer_park	0.776847779750824
IMG_6065	1256	1659	1398	1786	great_value	0.30408212542533875
IMG_1189	1256	1361	1521	1588	kirkland	0.8035305142402649
tTzh0I2nNTMsC5QXKatN6B9jhqO3oiJfiIeGHZO4	1195	1730	1908	2240	natural_light	0.29103004932403564
tTzh0I2nNTMsC5QXKatN6B9jhqO3oiJfiIeGHZO4	1190	1730	1908	2249	newport	0.2627744972705841
2R7Sp85dVjjkaxudOXW79jnZqqDKkFtx4vnaNhTC	1550	1111	2091	1438	corona	0.8855464458465576
IMG_5416	2450	1505	3131	1688	heineken	0.8790260553359985
IMG_5416	1020	1392	2116	2034	heineken	0.7803080677986145
fQtvV3jqTx3sZQ1D8wRGHR3LlByL0XhsH18kLQ3E	1260	951	1675	1089	newport	0.6261973977088928
phSqAmgkUcg125Aq0nswzHMZtFJtlq0OwVWrFtAk	1562	1524	2268	2160	corona	0.9110816717147827
phSqAmgkUcg125Aq0nswzHMZtFJtlq0OwVWrFtAk	1921	2211	2154	2513	corona	0.8437036871910095
