im_name	xmin_coord	ymin_coord	xmax_coord	ymax_coord	predicted	conf
IMG_2966	1337	1389	1814	1852	corona	0.4528511166572571
IMG_5256	1483	1928	2282	2732	heineken	0.9240603446960449
IMG_8373	1545	2320	1861	2443	kirkland	0.7594383358955383
IMG_0862	1543	1348	2305	2116	heineken	0.9325882792472839
IMG_9338	1658	2434	2126	2949	heineken	0.9493257999420166
iCAoavgtbEEa4qc99vPkSBOZ7kvxm4QjpSgJGwpo	2639	850	3345	1518	heineken	0.8544522523880005
IMG_2104	1266	1238	1852	2004	heineken	0.9046316146850586
IMG_0538	1323	1210	1507	1503	deer_park	0.8037185072898865
SIuaqMGYcswD4im0NFYDMEZumRdhNY1AMqVD6ytO	1140	1278	1423	1593	deer_park	0.776846706867218
IMG_1689	1219	1545	1582	1791	deer_park	0.604197084903717
IMG_9844	1204	1904	1838	2429	deer_park	0.8579515814781189
IMG_3492	2022	1033	2898	1764	fanta	0.9291858673095703
IMG_7892	1157	1706	1710	2349	corona	0.88011634349823
IMG_2559	1764	1360	2349	1858	coca_cola	0.9160510897636414
PoZkQE3TPKMrUmLz3sEEz6kNMhD6i2Ef3VLtSRKQ	1612	1105	2301	1846	bud_light	0.3864038586616516
IMG_6011	1015	1247	1426	1621	heineken	0.8461105227470398
IMG_6011	959	2207	1313	2495	corona	0.7838094830513
IMG_6011	1020	1829	1426	2103	corona	0.7829834818840027
IMG_6011	685	2736	1460	3280	corona	0.593716025352478
IMG_6011	1667	1413	2055	1536	heineken	0.5864645838737488
IMG_3557	1148	1602	2173	2169	coca_cola	0.9484423995018005
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1718	2070	1988	2223	heineken	0.9182987809181213
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1749	1846	2004	2019	heineken	0.9103730916976929
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	866	265	1137	433	heineken	0.9049922227859497
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1295	606	1545	770	heineken	0.8872086405754089
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1637	2254	1917	2437	heineken	0.8713268041610718
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	872	836	1152	999	heineken	0.8632612228393555
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1025	688	1269	841	heineken	0.861106812953949
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1937	458	2121	652	corona	0.8572376370429993
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	958	2055	1239	2244	corona	0.8297691941261292
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1014	1076	1290	1229	corona	0.8279242515563965
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1718	1473	1968	1626	corona	0.7705199122428894
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1744	1280	1988	1433	corona	0.7641617655754089
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1703	943	1881	1116	corona	0.6839198470115662
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	2483	1346	2703	1463	corona	0.640968382358551
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1050	1244	1305	1377	corona	0.6381537914276123
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	2662	1494	2881	1626	corona	0.6357941031455994
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	443	1305	525	1382	corona	0.6052457094192505
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	622	316	775	367	heineken	0.5382328629493713
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1035	1433	1213	1581	corona	0.5155084133148193
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	280	1397	351	1458	heineken	0.49184873700141907
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1698	1122	1917	1269	corona	0.4632801413536072
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	382	1387	438	1433	corona	0.46025481820106506
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	2432	1193	2713	1310	corona	0.4072781205177307
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	158	1320	239	1387	heineken	0.38268381357192993
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	1382	2325	1540	2381	heineken	0.31238067150115967
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	652	821	816	882	heineken	0.280667781829834
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	2147	907	2463	1060	corona	0.16066785156726837
gMyVYZ2G2PM9Z8QlQc4Wt2QmwJI1bXHIZd6zEIIO	2126	1071	2351	1229	corona	0.15353144705295563
IMG_5118	2091	1505	2507	1953	heineken	0.9108958840370178
IMG_7346	1575	1008	2009	1430	modelo	0.8053827881813049
IMG_4294	1814	1543	2192	1852	corona	0.7661178112030029
IMG_4294	2368	1726	2740	2034	corona	0.3829028010368347
IMG_3096	0	2604	1838	4027	mcdonalds	0.12182632833719254
IMG_2599	1688	1323	2142	1883	heineken	0.1761038452386856
IMG_9102	2463	1556	2746	1808	corona	0.8325108885765076
IMG_8966	888	1555	1370	2070	heineken	0.9366551637649536
IMG_8966	1464	2027	2017	2491	heineken	0.9279045462608337
iQGiuuoAbGpQWOX1NpBbr4fOQw7WBH1yxo9P6mE0	1638	945	1934	1297	deer_park	0.6828016042709351
IMG_5833	2173	1890	2488	2198	nestle_pure_life	0.9171231389045715
tTzh0I2nNTMsC5QXKatN6B9jhqO3oiJfiIeGHZO4	1195	1730	1908	2240	natural_light	0.29103124141693115
tTzh0I2nNTMsC5QXKatN6B9jhqO3oiJfiIeGHZO4	1190	1730	1908	2249	newport	0.2627740204334259
tTzh0I2nNTMsC5QXKatN6B9jhqO3oiJfiIeGHZO4	1195	1730	1908	2254	kirkland	0.22467149794101715
IMG_8563	2236	1291	2910	1978	heineken	0.9535537958145142
IMG_8563	1833	768	2110	1064	heineken	0.8684400320053101
IMG_8563	3332	863	3584	1146	corona	0.28759661316871643
IMG_8563	3332	863	3591	1152	bud_light	0.12744344770908356
IMG_3250	2053	1499	2349	1726	nestle_pure_life	0.8530404567718506
IMG_4797	774	642	1393	1243	corona	0.7661421298980713
IMG_8472	1877	1291	2274	1638	gatorade	0.9062652587890625
IMG_8486	1770	919	2564	1675	michelob	0.8314889073371887
IMG_6715	269	567	623	888	nestle_pure_life	0.9258060455322266
m20N59uFdCW5imcXN14wzw3UQPvoYJ7waFeO3mvE	508	1156	932	1556	heineken	0.896693766117096
m20N59uFdCW5imcXN14wzw3UQPvoYJ7waFeO3mvE	1752	680	2024	832	dasani	0.5167802572250366
m20N59uFdCW5imcXN14wzw3UQPvoYJ7waFeO3mvE	372	1024	488	1152	heineken	0.1375173032283783
