im_name	xmin_coord	ymin_coord	xmax_coord	ymax_coord	predicted	conf
2022_02_27_1FLq9Fp43ySh2CmRN89VxWxijz5NiTbTtl7oSIPg	293	376	465	515	amstel_light	0.9233541488647461
2022_02_27_1FLq9Fp43ySh2CmRN89VxWxijz5NiTbTtl7oSIPg	241	215	400	376	amstel_light	0.7623789310455322
2022_10_01_ynt1C9X6vIbSEk34pr9md8yj6wfnIAwP0tvjQq3m	91	159	509	481	snickers	0.8776666522026062
2021_07_18_DwmAOI5WeZpLtnJPGLN4QMS6KHOZJeO52g0b8kxO	472	484	563	593	heineken	0.9223753213882446
2021_07_18_DwmAOI5WeZpLtnJPGLN4QMS6KHOZJeO52g0b8kxO	456	229	571	402	natural_light	0.9125704765319824
2021_07_18_DwmAOI5WeZpLtnJPGLN4QMS6KHOZJeO52g0b8kxO	43	201	141	288	corona	0.8020580410957336
2021_07_18_DwmAOI5WeZpLtnJPGLN4QMS6KHOZJeO52g0b8kxO	299	38	508	180	natural_light	0.7770645022392273
2020_08_28_da6eBEyUHwnfTeq94ZBqKGVSVbY1kWyVrBxp0vLk	212	201	493	410	mountain_dew	0.5660229921340942
2022_02_24_APvQv92pBfnjuhfUyKZoYC2DjghNk3EohkWNMJ9A	250	259	395	395	pepsi	0.6464423537254333
2019_06_11_clw6P2bMGc28DQAufhhCvZJew4F11F3GxGhuJURf	220	303	476	408	budweiser	0.7355147004127502
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	42	171	96	273	burger_king	0.9247371554374695
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	54	379	88	448	burger_king	0.8148871660232544
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	514	78	596	173	dunkin	0.729073166847229
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	151	386	185	424	mcdonalds	0.6439270973205566
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	298	373	335	438	heinz	0.5451878309249878
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	228	165	251	285	burger_king	0.500115156173706
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	311	259	361	290	dunkin	0.4695568084716797
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	382	471	433	496	red_bull	0.41089916229248047
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	155	0	207	107	doritos	0.4007071852684021
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	227	165	251	285	dunkin	0.37300780415534973
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	493	270	507	292	guinness	0.37236344814300537
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	440	169	452	191	heineken	0.32282257080078125
2022_02_25_BI8EdsqxirsSNWXCAWaIv9FxytxxxDOTKEDeo672	197	365	213	429	red_bull	0.2571406662464142
2022_02_20_J21MggCi3kYLyJUekvvIxahkAM32TeUSpMp7ntjE	263	371	320	452	gatorade	0.9674469828605652
2022_02_20_J21MggCi3kYLyJUekvvIxahkAM32TeUSpMp7ntjE	70	384	121	479	gatorade	0.950350821018219
2022_02_20_J21MggCi3kYLyJUekvvIxahkAM32TeUSpMp7ntjE	525	319	586	400	gatorade	0.9146171808242798
2022_02_20_J21MggCi3kYLyJUekvvIxahkAM32TeUSpMp7ntjE	391	383	443	463	gatorade	0.9109045267105103
2022_02_20_J21MggCi3kYLyJUekvvIxahkAM32TeUSpMp7ntjE	136	418	248	518	kirkland	0.44188469648361206
2022_02_20_J21MggCi3kYLyJUekvvIxahkAM32TeUSpMp7ntjE	135	419	248	518	powerade	0.36037471890449524
2022_07_01_zR5Eum1nKQ2smDb5pCaPXdsjVy2MXWr9mWW2haMM	83	87	189	191	gatorade	0.4538683295249939
2022_07_01_zR5Eum1nKQ2smDb5pCaPXdsjVy2MXWr9mWW2haMM	450	319	585	566	lays	0.3575320243835449
2022_07_01_zR5Eum1nKQ2smDb5pCaPXdsjVy2MXWr9mWW2haMM	83	88	185	159	gatorade	0.2954462468624115
2018_09_13_xOkZ1jG0K3VGClsEKpFuAuAxda9mZYbGDqYWee5B	164	268	337	346	fanta	0.27640318870544434
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	269	364	401	578	corona	0.9459287524223328
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	466	77	601	175	coca_cola	0.9286780953407288
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	90	389	181	596	corona	0.8875977396965027
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	269	50	323	163	red_bull	0.7100836038589478
2022_01_14_r5FbF4CEARs6xTrIWe5gGjfGaKqnCTxBTBQ3DhG1	409	129	464	170	red_bull	0.5508395433425903
2022_01_17_SFEQr1n1XsC33cohvvzTYG9In1IKQcMfwWqjnJkG	114	183	352	595	corona	0.9920449256896973
2022_01_17_SFEQr1n1XsC33cohvvzTYG9In1IKQcMfwWqjnJkG	413	189	531	404	mcdonalds	0.9576568007469177
2021_10_06_7PhddMBNvgvEyOfHws73yZiNwalH5odp8YyHkOmK	253	263	384	377	gatorade	0.9217081665992737
2021_12_24_IezMybAQ9KD43PCzivdDZmHNiZxGErCOL4AHb0ia	77	492	173	595	guinness	0.9459367990493774
2021_12_24_IezMybAQ9KD43PCzivdDZmHNiZxGErCOL4AHb0ia	218	478	323	580	guinness	0.9324820041656494
2021_12_24_IezMybAQ9KD43PCzivdDZmHNiZxGErCOL4AHb0ia	339	410	445	512	guinness	0.9287496209144592
2021_12_24_IezMybAQ9KD43PCzivdDZmHNiZxGErCOL4AHb0ia	420	131	540	182	marlboro	0.8313924074172974
2021_12_24_IezMybAQ9KD43PCzivdDZmHNiZxGErCOL4AHb0ia	72	92	114	116	corona	0.5844930410385132
2021_12_24_IezMybAQ9KD43PCzivdDZmHNiZxGErCOL4AHb0ia	136	109	169	133	guinness	0.5685999393463135
2021_12_24_IezMybAQ9KD43PCzivdDZmHNiZxGErCOL4AHb0ia	242	117	282	146	guinness	0.3740423917770386
2021_12_24_IezMybAQ9KD43PCzivdDZmHNiZxGErCOL4AHb0ia	241	87	283	111	guinness	0.3728539049625397
2021_12_24_IezMybAQ9KD43PCzivdDZmHNiZxGErCOL4AHb0ia	180	93	220	118	guinness	0.3701086938381195
2021_12_24_IezMybAQ9KD43PCzivdDZmHNiZxGErCOL4AHb0ia	200	60	237	82	guinness	0.34978732466697693
2021_12_24_IezMybAQ9KD43PCzivdDZmHNiZxGErCOL4AHb0ia	87	46	126	72	bud_light	0.2956380546092987
