texts,count
,6035
Heineken,45
water,28
pepsi,26
ORIGINAL,23
WATER,23
LAGER,22
Corona,21
TEA,18
Modelo,10
DE,10
ENERGY,10
KING,10
Newport,10
Hot,9
ICE,9
PREMIUM,9
RICE,9
spring,8
MODELO,7
HOT,7
LLC,7
CRUSH,7
Water,7
BEST,7
Life,6
BEVERAGE,5
COMPANY,5
BAR,5
LEMONADE,5
de,5
De,5
DEER,5
Marlboro,4
BUTTER,4
CHASE,4
NATURAL,4
ORANGE,4
Budweiser,4
CALIFORNIA,4
JUICE,4
BIG,4
SPRING,3
DR,3
EA,3
POPEYES,3
Wawa,3
Lite,3
CAFE,3
BLUE,3
Cafe,3
mike,3
WHATABURGER,3
PEPSI,3
Chocolate,3
SNACKS,3
skittles,3
PEPPER,3
Spring,3
Sprite,3
POP,2
smartwater,2
wich,2
Juice,2
LIFE,2
CHEW,2
TWIX,2
PRO,2
day,2
Miller,2
King,2
Natural,2
STONE,2
ARTOIS,2
HERSHEY,2
FC,2
Trident,2
YORK,2
HEINEKEN,2
FRUIT,2
CHIP,2
STELLA,2
GENERAL,2
box,2
SAUCE,2
CHIPS,2
Brewing,2
GOLD,2
COFFEE,2
Best,2
New,2
BELL,2
CERVEZA,2
Kinder,2
CIRCLE,1
MALL,1
BLACK,1
Folgers,1
food,1
Star,1
dry,1
Fruit,1
hot,1
TOP,1
DAY,1
AIRHEADS,1
America,1
BURGER,1
Bread,1
WRIGLEY,1
JARRITOS,1
Pro,1
Sweet,1
FOODS,1
BRISK,1
BACARDI,1
Beef,1
Brewery,1
la,1
FOCUS,1
Orange,1
FARMS,1
Tape,1
Ball,1
Beverage,1
bar,1
WHITE,1
WEAR,1
MEDIO,1
FAMILY,1
Victoria,1
Whisky,1
HALLS,1
Bull,1
CINNAMON,1
baby,1
GUINNESS,1
ELYSIAN,1
CROWN,1
SMIRNOFF,1
TROJAN,1
ORGANIC,1
HEINZ,1
wawa,1
natural,1
Mild,1
BOX,1
Kat,1
Coffee,1
AQUAFINA,1
Bojangles,1
Starburst,1
Doritos,1
BIC,1
Choo,1
CARDS,1
CRACKERS,1
TACO,1
Oil,1
Orbit,1
FOOD,1
Organic,1
PANDA,1
Original,1
Burger,1
RESTAURANTS,1
CHOO,1
AMERICAN,1
Haribo,1
Colgate,1
GATORADE,1
AMERICA,1
Heinz,1
NEW,1
POWERADE,1
bubba,1
GUYS,1
CRAFTSMAN,1
RESERVE,1
GOGO,1
SOUR,1
fanta,1
KFC,1
Parliament,1
PALL,1
chocolate,1
mango,1
Tea,1
SHOP,1
Brisk,1
RING,1
lager,1
GU,1
VODKA,1
BULL,1
LA,1
Cinnamon,1
Dry,1
Smartwater,1
Crocker,1
Top,1
Del,1
Company,1
WHISKY,1
SPA,1
MILLER,1
PARK,1
BOHEMIAN,1
SAVE,1
Pepper,1
Bic,1
Nesquik,1
Chicken,1
Kids,1
