s3_path,logos,texts
s3://olm-pics-s3/1/tTyxAD9TsRwRm6yHD8TZrmin76zbW08A9NXCaxz9.jpeg,"Craftsman, Marketside","Marketside, PREMIUM, ROMAINE, APAL, SALAD, st, Used, Romaine, lettuce, Carrots, SHED, READY, EAT, cabbage, oldat, qoy, annoy, obve, botdgileb, glossy, xbor, NET, WT, OZ, PERISHABLE, KEEP, REFRIGERAT, Junys, Instruction, Manual, CRAFTSMAN, cc, cu, Cycle, MPH, CFM, GASOLINE, POWERED, BLOWER, VAC, Model, Safety, Assembly, Operation, Maintenance, Parts, List, Espa, ol, WARNING, Read, follow, Safety, Rules, Instructions, first, use, answers, questions, Call, pm, Mon, Sat, Sears, Roebuck, Co"
s3://olm-pics-s3/112/18RfT51ZmG4CbSBoRLQKOSFB5J6p8Hc1XX3qosy6.jpeg,,
s3://olm-pics-s3/112/2ObwUbTXkBbQKOmW0xXLhf6msJCqk9G4pQDyHzpd.jpeg,,"DIET, TEA"
s3://olm-pics-s3/112/3pci4ANxHOGByqVp5xHuNUAjkJLUqnRIcBPTX237.jpeg,,"GAL, ku, HORIC, ER, AUTHORITY, GA, MEMBER, TION, ATLANTA, GA, CANTEN, mg, CALORIES, PER, please, Cok"
s3://olm-pics-s3/112/3q5V6dsu75SItwjaXdJ7bvODcykTgpaemhDPbv0l.jpeg,,
s3://olm-pics-s3/112/48vTMRKbHUftrk8LPWnSDVGArYeyZKfTOFnUrX3R.jpeg,,"PACK, ANEL"
s3://olm-pics-s3/112/69M58FGWNVp1ZTObF0YmkMfGNEz1nUu1B2MSI8Gt.jpeg,,
s3://olm-pics-s3/112/6DZwPU7G5pSklPkQaX7b2AG5Niv9w8hnbjOzd6pn.jpeg,,"Purified, Water, ENHANCED, MINERALS, TASTE, FL, OZ, PT, FL, OZ, mL, Nestle, Pute, Life"
s3://olm-pics-s3/112/6Jwku1W6NU6iILvW2fPeMQS5nxAGiXlF8qdvDrLr.jpeg,,"CA, CASH, REFUND, INFORMATION, OBTAIN, IONAL, CONSUMER, FORMATION, NELATING, CATER, QUALITY, INCLUDING, BOTTLED, WATER, SU, WWW, PREMIUMWATERS, COM, ACT, PREMIUM, WATERS, INC, CE, SAMANTA, SPRINGS, KELLER, TX, ASTRIDSTED, CORNER, STERE, CESSED, DENAVON, HANTONIS, TX, NCAA, SMALL, PART, ROSES, RO, PANIC, CHILDREN, LITER, PT, FL, OZ, FL, OZ, comer, store, SPRI, WAT"
s3://olm-pics-s3/112/6XYPD5mQdyrWuu9KR8XVpSMr34pShCZSyv2f1v7W.jpeg,,
s3://olm-pics-s3/112/6yHUITkWkSqJpMGrqzS3qlFVTAjlFatcUu311nsO.jpeg,,
s3://olm-pics-s3/112/9zOwGGNOxHJTPuh8FK6BvVstPjqHElKRBMQ1sXZj.jpeg,"GoGo Squeez, GoGo Squeez, The Coca-Cola Company","ESADILLA, ngs, GOGO"
s3://olm-pics-s3/112/AiJJeIYr2gZ5GaypRYhvVi1A3AxgnDu2ieyS77L5.jpeg,,"ty, haver, BR"
s3://olm-pics-s3/112/AunDETAqwJifHi365Ne9jUb1E4QYfwn2UYVHHjgX.jpeg,Steel Reserve,"BREWED, FO, EXTRA, GRAVITY, EXCEPTIONALLY, STEEL, COMPANY, STEEL, RESERVE, SMOOT"
s3://olm-pics-s3/112/BtRV30Nd4ZCJ22y6pLRGRowK0nQqpGI78TuhDCE0.jpeg,,"en, SISTOOL, Colle, Tootsi, SHID, SELLAD, tures, ses"
s3://olm-pics-s3/112/CHb22qoTr1vMgCUZOrywezmBkE5tmIyNfXbQaElD.jpeg,Tropicana Products,"AMRAL, tamanry, Pay, pho, FR, phone, Tropicana, para, agara, ara"
s3://olm-pics-s3/112/DPYtv1yQFnTaKIKmDztapMaKtASBq6wefhkX6IeU.jpeg,The Coca-Cola Company,"PAV, Coca, Cola, zero, SUSAN, ZERO, CALORIE, COLA"
s3://olm-pics-s3/112/Da9HiIUxqaxY7WeKi2INrzgTGzLGTvAl5HBhIEfn.jpeg,,"Niagara, Bottling, LLC, report, water, quality, OP, rse, SAHME, garawater, com, Cap, small, part, poses, particularly, childre, CA"
s3://olm-pics-s3/112/DzvEFjOqUMfm2MywcyLHRCuUIEnpV8FSPBXtLzwQ.jpeg,"Niagara Bottling, Niagara Bottling","nagara, DRINKING, NKING, WA, WATER, DROO, CA, CRVE, COOLER, HIBURRA, GLACIER, Us, ar, CAPACITY, CANS, CAPACIDAD, PARA, LATAS, CAPACE, CANETTES, gloocoolers, com, PERFORMANCE, MADE, SA, TARK, EFFICACIT, DE, REFROIDISSEMENT, AVANCER"
s3://olm-pics-s3/112/Fgk5xWTriPRNz34t9fkabY4t1cv61VGVYXYfEirb.jpeg,,"LOW, SODIUM, NUTRITION, FACTS, Serving, Size, oz, ml, Servings, Per, Container, Amount, Per, Serving, Calories, Daily, Valuer, Total, Fat, Sodium, mg, BOTTLED, AUTHORY, BORED, ONC, GRED, BIC, BEGISTERED, INC, TRA, RIGHTS, RESERVED, Total, Carbohydrate, Sugars, Protein, source, fat, call, NOL, cholest, fiber, sat, fat, Qcal, calcium, iron, vitamin, Vitamin, Daily, Values, based, Pre, det, CARBONATED, WATER, MON, FRUCTOSE, CORN, SYRUP, NATURAL, ARTIFICIAL, FLAVOR, RED, CITRIC, ACID, CAFFEINE, CAFFEINE, CONTENT, mg, CALORIES, PER, FL, SERVING, CA, CRV, CT, HI, LA, MENYORAT, clean, fals, FAT, BUD, LIGHT, LAGERS"
s3://olm-pics-s3/112/Gq5m3KeQJUFNOCzkltNk9t92ucUgueWt9dVVTxUk.jpeg,Monster Energy,"FOUNT, micro, cher, TEXAS, BPN, ne, Lone, Star, St, WINE, PIPE, FunCH, BR, JUICE, MONSTER, ERO, JUICE, LEMON, Lipton, pton"
s3://olm-pics-s3/112/HKXafwXvrpBQjoWC9aPtSY8lTGcdoZVlPItqNQkK.jpeg,"Mike's Hard Lemonade Co., Mike's Hard Lemonade Co.","mike, LUATED, EDITION, PASSION, ORANGE, GUAVA, HARDER, ankost"
s3://olm-pics-s3/112/HTQsgTBCZHwjMPM01oV84p0lapcf9bH62WiaCqXL.jpeg,,"CP, VEGETABU, LICE, BLEND, JUICES, BEETS, PARSLE, SPINCH, CONTANG, PJUORINE, CITRIC, AC, GLUTEN, FREE, Belle, Li, FLOY, DARK, ROAST"
s3://olm-pics-s3/112/HkEpemmSLB3BGo19tKjc5nkIVg5bLNvbveMp900s.jpeg,,
s3://olm-pics-s3/112/L8bQtzekamZHwTE4NJrpMtzfgobp9VJUQfU14o0r.jpeg,,
s3://olm-pics-s3/112/MPZZ4OSG24wX5msGJRntNYMNvE7pd0INv4WdRfel.jpeg,,"ted, CALORIES, SER, Ind, calo, Caffeine, contr, EUSE, BL"
s3://olm-pics-s3/112/Me4wXE8zxmilhJRp0FSx9PORbzRNSLTF4LFQYiKZ.jpeg,,"PAD, THAI, Comes, side, fried, rice, steam, rice, egg, roll, cheese, rangoon, Chicken, Beef, Shrimp, Combo, CATERING, PARTY, MENU, portion, serves, adults, APPETIZERS, Chicken, Lettuce, Wrap, Egg, Roll, Cheese, Rangoon, Steamed, Dumplings, Fried, Dumplings, FRIEDRICE, LO, MEIN, NOODLES, Chicken, Pork, Vegetable, Tofu, Beef, Shrimp, Shrimp, Scallops, Combination, Choice, SIGNATURE, DISHES, Choice, steamed, rice, plain, fried, rice, Chicken, Pork, Beef, Shrimp, Shrimp, Scallops, Vegetables, Tofu, Please, add, delivery, setup, Also, Catering, Pharmaceutical, Reps, Call, Information"
